caption,videopath
a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bicycle_slowing_down_to_stop.mp4
a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bus_stuck_in_traffic_during_rush_hour.mp4
a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_train_accelerating_to_gain_speed.mp4
a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_motorcycle_cruising_along_a_coastal_highway.mp4
a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_washing_the_dishes.mp4
a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_truck_anchored_in_a_tranquil_bay.mp4
a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_truck_stuck_in_traffic_during_rush_hour.mp4
a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_train_crossing_over_a_tall_bridge.mp4
a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_sheep_running_to_join_a_herd_of_its_kind.mp4
a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_motorcycle_gliding_through_a_snowy_field.mp4
a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_horse_taking_a_peaceful_walk.mp4
a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bicycle_leaning_against_a_tree.mp4
an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_airplane_taking_off.mp4
a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bird_soaring_gracefully_in_the_sky.mp4
an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_elephant_taking_a_peaceful_walk.mp4
a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_motorcycle_turning_a_corner.mp4
a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_horse_galloping_across_an_open_field.mp4
a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_giraffe_bending_down_to_drink_water_from_a_river.mp4
a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_boat_accelerating_to_gain_speed.mp4
a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_truck_slowing_down_to_stop.mp4
a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bicycle_accelerating_to_gain_speed.mp4
a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bus_turning_a_corner.mp4
an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_elephant_running_to_join_a_herd_of_its_kind.mp4
a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_dog_playing_in_park.mp4
a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_motorcycle_accelerating_to_gain_speed.mp4
a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bear_climbing_a_tree.mp4
a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_bear_catching_a_salmon_in_its_powerful_jaws.mp4
a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_sheep_taking_a_peaceful_walk.mp4
an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_airplane_soaring_through_a_clear_blue_sky.mp4
a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_boat_sailing_smoothly_on_a_calm_lake.mp4
a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cat_playing_in_park.mp4
a person giving a presentation to a room full of c,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_giving_a_presentation_to_a_room_full_of_c.mp4
a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_zebra_taking_a_peaceful_walk.mp4
a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_zebra_running_to_join_a_herd_of_its_kind.mp4
a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_car_turning_a_corner.mp4
a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_train_speeding_down_the_tracks.mp4
a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_car_stuck_in_traffic_during_rush_hour.mp4
an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/an_airplane_landing_smoothly_on_a_runway.mp4
a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_car_slowing_down_to_stop.mp4
a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_person_eating_a_burger.mp4
a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_cat_running_happily.mp4
a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_truck_turning_a_corner.mp4
a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_horse_bending_down_to_drink_water_from_a_river.mp4
a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_zebra_bending_down_to_drink_water_from_a_river.mp4
a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_giraffe_running_to_join_a_herd_of_its_kind.mp4
a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/rejection_f33_s50_w8c6_a10_cfg5.0_0701_2111/a_dog_running_happily.mp4
